date,pakistan_west,china_east,gulf_energy,us_trade,shipping
2017-03-31,0.009787807787504712,0.010029254909645721,0.01100166386496964,0.010278093267511555,0.00918654993002717
2017-04-01,0.009071412344975492,0.011780247293551729,0.007790726865030231,0.009699547874117464,0.007694669170759896
2017-04-02,0.010682934540599532,0.011418393527753704,0.00863458050364871,0.009435939523503807,0.00924981661388725
2017-04-03,0.010793711800923938,0.012621118347879068,0.011444262127602793,0.010293003421539321,0.01283301188987559
2017-04-04,0.010222767569099718,0.01387894906780197,0.010866202789040168,0.010502504094269751,0.011299760593852973
2017-04-05,0.010349498580819471,0.016393496296975372,0.010783705710508707,0.010348912295106504,0.010257482691038053
2017-04-06,0.010523624743209312,0.017899145477784834,0.010960098140495868,0.010875082483122684,0.010359884992790669
2017-04-07,0.009544186854089875,0.012877341497129817,0.012408263142058373,0.010472387553680403,0.009596425014060075
2017-04-08,0.008772039907134342,0.011417122703082639,0.008423136655167099,0.007910505400321403,0.007957194160579035
2017-04-09,0.009016291506031587,0.010718908800804616,0.008941159883447692,0.008808070497491346,0.010936790999253706
2017-04-10,0.011150404854387693,0.011443213551416209,0.010617027542274369,0.01031603945554123,0.011762483574244415
2017-04-11,0.011381280719731837,0.011868374451155909,0.01058894792936612,0.010268567178079209,0.00939673758288248
2017-04-12,0.01139750827598522,0.014665700605779932,0.010860744325033561,0.010047654017465157,0.009135158752807376
2017-04-13,0.020583605763409615,0.01226798327871223,0.009787520863960408,0.008633446493997736,0.008204716552707828
2017-04-14,0.013893264967016348,0.011095821848146002,0.007912603727193988,0.0071613483605108405,0.007642163925685668
2017-04-15,0.012575609212943708,0.010894117205575225,0.007111020695012114,0.006868327471554279,0.006719195020576845
2017-04-16,0.012614226493432582,0.010389573290483843,0.007547419157082497,0.007592461742471906,0.007634531041774853
2017-04-17,0.013323549117825352,0.010141411399438426,0.009807021944029458,0.009502973034642901,0.010717082032253373
2017-04-18,0.012201329019875418,0.009705557033448609,0.010226604281682235,0.010186225535597698,0.00908791217215974
2017-04-19,0.010503025700916364,0.017605875961102017,0.009726326815269264,0.010390293377408813,0.009457604053389064
2017-04-20,0.010625907282479748,0.015947223380237463,0.009737459052397056,0.009675943320771844,0.008194597591029326
2017-04-21,0.01010620833937802,0.015555253529046511,0.009151942165878078,0.008925937942425672,0.011644058939394616
2017-04-22,0.009104775278348581,0.009575818682348346,0.007828202686977679,0.007199879940995392,0.013406286721504113
2017-04-23,0.008491842729872382,0.009067892806888146,0.007509518137818505,0.008280092928706259,0.01080299606965644
2017-04-24,0.01027850868075148,0.009291984950404742,0.009732302038840578,0.009656104628171668,0.014949619282074769
2017-04-25,0.010552050612230506,0.009412435092186422,0.010460307501332415,0.010391800403433812,0.011159624379922583
2017-04-26,0.010423163878772018,0.010429340330253977,0.010825880009409457,0.011607381464759413,0.012573333966868
2017-04-27,0.010272918003724095,0.009989451039116654,0.009961547863660089,0.010913795621961144,0.009100804005904722
2017-04-28,0.008698604343311005,0.00857868343012711,0.008112978800091746,0.00897528694033709,0.011046288688030677
2017-04-29,0.007763436690129183,0.0070391678260395985,0.029346377581364876,0.00591046923986226,0.005842141020107803
2017-04-30,0.008061674194359075,0.007226688982033426,0.008359418735758158,0.008765911777092475,0.007156133200862413
2017-05-01,0.009908435932258992,0.008186411799548083,0.008841936129242004,0.010121147836669788,0.01180435520195773
2017-05-02,0.011406002855623366,0.008969335645922612,0.008775191492526214,0.009635730112988425,0.008057474264710754
2017-05-03,0.010790824129141886,0.007896736095633189,0.008691245018161155,0.009252982478710719,0.007340677957184421
2017-05-04,0.010546548194537477,0.007971679497116121,0.009224303345978329,0.00922482089630288,0.007940039328313123
2017-05-05,0.008833583080475462,0.007283455274958698,0.00825177885594851,0.007580156014336452,0.00692614103152204
2017-05-06,0.008169040157615666,0.006321595795452813,0.005700403934914261,0.006081726933200942,0.005685925112771492
2017-05-07,0.008162687181800774,0.006584013149387904,0.0067306545844759745,0.006640193425455943,0.006608301654955267
2017-05-08,0.009023480804796234,0.006930546461615346,0.008861688817195724,0.008276405258026302,0.007589566410293866
2017-05-09,0.008488139542076018,0.007116685618460196,0.009662591944572856,0.007639578310405144,0.006856313864009083
2017-05-10,0.008487645448191887,0.006524805214366896,0.008309976033379178,0.007437299110808719,0.006840733687481206
2017-05-11,0.008137241980615597,0.006493771511751822,0.00996509774068914,0.008719798936072897,0.006713915040040819
2017-05-12,0.007530107222589064,0.00624815518317482,0.007209612055566488,0.007245149890099065,0.006316599127201319
2017-05-13,0.007572939628680059,0.0063005877413937865,0.005403519520746111,0.005688766179007121,0.00531376424845292
2017-05-14,0.007681979428843219,0.007099530143824676,0.006174971140713512,0.0061012710601091565,0.005608096207287957
2017-05-15,0.00865187440906691,0.007139341313267984,0.009309580196161666,0.007441875914381437,0.007105738390782821
2017-05-16,0.00788197743829642,0.006669663118429274,0.008613362201432514,0.007366076781046927,0.006739396337300333
2017-05-17,0.007360810305859989,0.006357118425839791,0.008075556782245584,0.00771818368384892,0.006410940187330333
2017-05-18,0.007996516369106529,0.0064223559461448546,0.007778395435148701,0.00748916624354993,0.006313299732271311
2017-05-19,0.007223006914555342,0.006135550048189453,0.006880538427502669,0.006848592168681764,0.005843064868084079
2017-05-20,0.006412281667074904,0.005545286506469501,0.0062031536171391535,0.005784424173617254,0.004890767748031793
2017-05-21,0.0070462252113162585,0.005910213248320406,0.007370764680128568,0.00609536170206602,0.005497788932711844
2017-05-22,0.007457821616370589,0.006214816435182984,0.010068763576974508,0.008006517868817831,0.006463434794047865
2017-05-23,0.00859613098954359,0.006950289114396952,0.009873839362694497,0.0074901773426413855,0.006156377305748999
2017-05-24,0.012696807363075269,0.007427807770709793,0.00888105685743628,0.00676243237921749,0.005726545379248463
2017-05-25,0.00929583485530954,0.007200590690421136,0.010849726351919,0.0071249252839211,0.005704174444566451
2017-05-26,0.00752660293858512,0.011029987042194175,0.008027126062395033,0.006873423414615069,0.005396943855401949
2017-05-27,0.007661619064166477,0.007245221717389649,0.005439988661945008,0.00509302942839951,0.004967149797827495
2017-05-28,0.007425635855307887,0.006852733782989369,0.005784688315005089,0.005090606434736683,0.005137584096688387
2017-05-29,0.007577818834505791,0.00837419607717659,0.006695700530482433,0.006026017002025621,0.005938847225534021
2017-05-30,0.0071943543107852136,0.008522910340410809,0.006972900125832368,0.006114825412651692,0.0061360546336947834
2017-05-31,0.0067014687187254875,0.006885979637427672,0.0070445357100169925,0.005894125697899242,0.005680806176645968
2017-06-01,0.007061303241775242,0.005969933068242207,0.0066768175509114985,0.005467594811929052,0.005346728581174761
2017-06-02,0.006425665088358232,0.005714925169803243,0.006184237735527741,0.005329658447871293,0.004702795173228019
2017-06-03,0.006113739098332221,0.0052695565983676374,0.004679431688167031,0.004367600587874225,0.0046330413245483605
2017-06-04,0.007877985424937587,0.006250468929455696,0.005158761704475102,0.004452000537861309,0.0052949066749655984
2017-06-05,0.006940118483709535,0.005960781613943295,0.01189198195732121,0.005204932633868086,0.00730254652628497
2017-06-06,0.006482872775568822,0.005700530122681189,0.010905315399520185,0.004928880472012789,0.007143506025062121
2017-06-07,0.006070920990297054,0.005687957354972213,0.009981831086207359,0.005147374065678186,0.006450756570215026
2017-06-08,0.0055456109306937194,0.005230338975240993,0.008245559083349034,0.0048445263245793495,0.00561732501293463
2017-06-09,0.005250013783583446,0.005033725022010852,0.007234669500102123,0.004583349026768888,0.004974758485193921
2017-06-10,0.00510133597711611,0.004629517528092817,0.006535336758504887,0.003891488533175328,0.004591113737260706
2017-06-11,0.005074438916226784,0.004846194268534214,0.006076406592385627,0.0042164685755215515,0.005182193479654091
2017-06-12,0.005509819076517336,0.005170574562580271,0.006929934413723498,0.005523007406287594,0.005777022449188579
2017-06-13,0.005254912233167734,0.005281751498131806,0.006946601562063533,0.005982800403947273,0.008711549878647373
2017-06-14,0.0053412067487554424,0.0050080029493195215,0.006040588221574862,0.005155070186996402,0.007407369712020437
2017-06-15,0.005574482182325223,0.004989372047349549,0.006241280969114764,0.004677004245746372,0.00631385407037778
2017-06-16,0.00543696883086483,0.004867501319203996,0.005449881397847928,0.004576521166096589,0.00499325779378912
2017-06-17,0.00540367633896037,0.004553018105937273,0.004777136165313163,0.003955796103965923,0.0047232927640276584
2017-06-18,0.00719064633266354,0.004327337272595382,0.004411294480008875,0.0034053019542171917,0.004988729020132302
