date,adm1,n,n_conflict,n_protest
2017-01-01,IN00,44,8,0
2017-01-01,IN01,17,5,0
2017-01-01,IN02,188,44,2
2017-01-01,IN03,30,8,1
2017-01-01,IN06,3,0,0
2017-01-01,IN07,811,247,9
2017-01-01,IN09,68,20,0
2017-01-01,IN10,95,29,0
2017-01-01,IN11,41,13,1
2017-01-01,IN12,177,71,0
2017-01-01,IN13,83,15,1
2017-01-01,IN16,351,83,2
2017-01-01,IN17,14,1,0
2017-01-01,IN19,210,47,5
2017-01-01,IN20,23,8,1
2017-01-01,IN21,108,22,1
2017-01-01,IN22,15,2,0
2017-01-01,IN23,90,36,4
2017-01-01,IN24,66,14,0
2017-01-01,IN25,290,94,6
2017-01-01,IN26,13,3,0
2017-01-01,IN28,167,46,0
2017-01-01,IN30,4,1,0
2017-01-01,IN33,8,4,0
2017-01-01,IN34,180,56,1
2017-01-01,IN35,64,15,2
2017-01-01,IN36,671,188,14
2017-01-01,IN37,38,7,0
2017-01-01,IN38,80,18,0
2017-01-01,IN39,82,26,3
2017-01-02,IN00,111,33,2
2017-01-02,IN01,1,0,0
2017-01-02,IN02,340,106,8
2017-01-02,IN03,20,5,1
2017-01-02,IN06,7,0,0
2017-01-02,IN07,1224,354,13
2017-01-02,IN09,220,76,9
2017-01-02,IN10,102,29,3
2017-01-02,IN11,30,10,1
2017-01-02,IN12,313,114,11
2017-01-02,IN13,178,58,3
2017-01-02,IN16,762,234,11
2017-01-02,IN17,18,13,1
2017-01-02,IN18,3,0,0
2017-01-02,IN19,491,134,12
2017-01-02,IN20,25,7,3
2017-01-02,IN21,96,42,7
2017-01-02,IN22,15,2,0
2017-01-02,IN23,125,54,2
2017-01-02,IN24,146,42,0
2017-01-02,IN25,444,125,8
2017-01-02,IN26,19,7,0
2017-01-02,IN28,195,58,0
2017-01-02,IN33,9,1,0
2017-01-02,IN34,183,46,1
2017-01-02,IN35,161,48,0
2017-01-02,IN36,962,262,12
2017-01-02,IN37,42,6,1
2017-01-02,IN38,76,20,0
2017-01-02,IN39,108,40,6
2017-01-03,IN00,125,30,6
2017-01-03,IN01,6,2,0
2017-01-03,IN02,474,135,15
2017-01-03,IN03,27,17,2
2017-01-03,IN05,3,0,0
2017-01-03,IN06,8,0,0
2017-01-03,IN07,1248,359,14
2017-01-03,IN09,234,67,3
2017-01-03,IN10,81,24,1
2017-01-03,IN11,34,11,0
2017-01-03,IN12,499,218,10
2017-01-03,IN13,179,48,6
2017-01-03,IN14,1,1,0
2017-01-03,IN16,936,309,10
2017-01-03,IN17,32,13,1
2017-01-03,IN18,2,2,2
2017-01-03,IN19,762,264,15
2017-01-03,IN20,58,7,1
2017-01-03,IN21,189,71,9
2017-01-03,IN22,46,12,0
2017-01-03,IN23,128,45,1
2017-01-03,IN24,232,70,2
2017-01-03,IN25,498,174,17
2017-01-03,IN26,37,24,5
2017-01-03,IN28,456,181,20
2017-01-03,IN30,2,0,0
2017-01-03,IN31,1,0,0
2017-01-03,IN33,20,5,0
2017-01-03,IN34,232,80,6
2017-01-03,IN35,145,48,4
2017-01-03,IN36,836,261,16
2017-01-03,IN37,86,21,2
2017-01-03,IN38,53,22,0
2017-01-03,IN39,70,10,0
2017-01-04,IN00,133,35,5
2017-01-04,IN01,8,0,0
2017-01-04,IN02,466,120,4
2017-01-04,IN03,96,36,1
2017-01-04,IN06,2,0,0
2017-01-04,IN07,1695,540,41
2017-01-04,IN09,275,82,5
2017-01-04,IN10,140,51,3
2017-01-04,IN11,42,5,0
2017-01-04,IN12,278,118,2
2017-01-04,IN13,207,67,4
2017-01-04,IN16,1057,343,22
2017-01-04,IN17,25,4,0
2017-01-04,IN18,5,3,0
2017-01-04,IN19,970,332,8
2017-01-04,IN20,35,15,0
2017-01-04,IN21,276,119,23
2017-01-04,IN22,38,3,0
2017-01-04,IN23,127,41,1
2017-01-04,IN24,235,69,1
2017-01-04,IN25,487,115,7
2017-01-04,IN26,61,28,2
2017-01-04,IN28,683,352,88
2017-01-04,IN31,2,0,0
2017-01-04,IN33,23,2,0
2017-01-04,IN34,432,102,0
2017-01-04,IN35,204,83,14
2017-01-04,IN36,1024,300,22
2017-01-04,IN37,49,14,0
2017-01-04,IN38,46,12,2
2017-01-04,IN39,197,58,10
2017-01-05,IN00,119,36,1
2017-01-05,IN01,16,6,0
2017-01-05,IN02,407,90,7
2017-01-05,IN03,35,11,1
2017-01-05,IN05,3,0,0
2017-01-05,IN07,1629,495,36
2017-01-05,IN09,339,47,4
2017-01-05,IN10,118,27,1
2017-01-05,IN11,36,10,0
2017-01-05,IN12,415,85,1
2017-01-05,IN13,191,47,0
2017-01-05,IN16,1001,358,19
2017-01-05,IN17,22,3,1
2017-01-05,IN18,7,7,0
2017-01-05,IN19,807,255,8
2017-01-05,IN20,69,22,8
2017-01-05,IN21,135,36,10
2017-01-05,IN22,89,50,4
2017-01-05,IN23,140,43,8
2017-01-05,IN24,212,60,3
2017-01-05,IN25,548,170,5
2017-01-05,IN26,16,4,0
2017-01-05,IN28,592,230,60
2017-01-05,IN30,8,0,0
2017-01-05,IN31,1,0,0
2017-01-05,IN33,37,10,0
2017-01-05,IN34,466,114,0
2017-01-05,IN35,292,87,1
2017-01-05,IN36,1032,271,20
2017-01-05,IN37,66,24,0
2017-01-05,IN38,57,16,1
2017-01-05,IN39,132,28,5
2017-01-06,IN00,101,26,3
2017-01-06,IN01,10,2,0
2017-01-06,IN02,285,71,4
2017-01-06,IN03,46,10,0
2017-01-06,IN06,8,0,0
2017-01-06,IN07,1495,482,21
2017-01-06,IN09,236,59,5
2017-01-06,IN10,144,34,4
2017-01-06,IN11,37,9,0
2017-01-06,IN12,366,176,2
2017-01-06,IN13,385,254,110
2017-01-06,IN16,1042,316,10
2017-01-06,IN17,18,3,0
2017-01-06,IN19,569,201,6
2017-01-06,IN20,21,6,0
2017-01-06,IN21,89,22,6
2017-01-06,IN22,31,12,1
2017-01-06,IN23,140,66,4
2017-01-06,IN24,160,54,8
2017-01-06,IN25,537,152,7
2017-01-06,IN26,32,4,2
2017-01-06,IN28,349,96,20
2017-01-06,IN30,7,1,0
2017-01-06,IN33,40,5,0
2017-01-06,IN34,440,150,5
2017-01-06,IN35,145,43,0
2017-01-06,IN36,722,176,7
2017-01-06,IN37,42,11,0
2017-01-06,IN38,39,13,1
2017-01-06,IN39,74,29,2
2017-01-07,IN00,107,31,0
2017-01-07,IN01,12,1,0
2017-01-07,IN02,216,53,2
2017-01-07,IN03,53,22,2
2017-01-07,IN05,7,4,1
2017-01-07,IN07,1284,395,21
2017-01-07,IN09,278,56,1
2017-01-07,IN10,126,42,2
2017-01-07,IN11,16,6,0
2017-01-07,IN12,352,107,5
2017-01-07,IN13,169,79,15
2017-01-07,IN16,776,275,15
2017-01-07,IN17,23,9,0
2017-01-07,IN18,7,5,0
2017-01-07,IN19,513,135,5
2017-01-07,IN20,14,4,0
2017-01-07,IN21,90,25,4
2017-01-07,IN22,32,15,8
2017-01-07,IN23,146,59,14
2017-01-07,IN24,158,53,7
2017-01-07,IN25,322,113,6
2017-01-07,IN26,8,2,0
2017-01-07,IN28,294,78,4
2017-01-07,IN30,11,4,0
2017-01-07,IN31,3,1,0
2017-01-07,IN33,73,18,2
2017-01-07,IN34,215,68,2
2017-01-07,IN35,112,36,0
2017-01-07,IN36,782,224,8
2017-01-07,IN37,72,27,3
2017-01-07,IN38,33,11,2
2017-01-07,IN39,82,19,0
2017-01-08,IN00,76,22,2
2017-01-08,IN01,4,0,0
2017-01-08,IN02,162,50,6
2017-01-08,IN03,56,13,1
2017-01-08,IN05,4,0,0
2017-01-08,IN07,1061,272,8
2017-01-08,IN09,309,48,5
2017-01-08,IN10,142,32,1
2017-01-08,IN11,10,6,0
2017-01-08,IN12,229,65,5
2017-01-08,IN13,95,19,0
2017-01-08,IN16,647,171,6
2017-01-08,IN17,56,14,1
2017-01-08,IN18,2,0,0
2017-01-08,IN19,622,149,3
2017-01-08,IN20,25,4,1
2017-01-08,IN21,71,29,6
2017-01-08,IN22,54,10,0
2017-01-08,IN23,108,37,0
2017-01-08,IN24,116,26,3
2017-01-08,IN25,221,60,3
2017-01-08,IN26,5,0,0
2017-01-08,IN28,171,65,4
2017-01-08,IN30,3,0,0
2017-01-08,IN33,28,8,0
2017-01-08,IN34,219,94,1
2017-01-08,IN35,138,32,1
2017-01-08,IN36,692,246,5
2017-01-08,IN37,127,57,2
2017-01-08,IN38,66,20,0
2017-01-08,IN39,74,21,1
2017-01-09,IN00,115,31,1
2017-01-09,IN01,7,0,0
2017-01-09,IN02,403,90,3
2017-01-09,IN03,89,45,3
2017-01-09,IN06,4,1,0
2017-01-09,IN07,1796,594,71
2017-01-09,IN09,375,50,5
2017-01-09,IN10,104,22,0
2017-01-09,IN11,25,13,0
2017-01-09,IN12,380,180,1
2017-01-09,IN13,178,47,12
2017-01-09,IN14,2,0,0
2017-01-09,IN16,1035,299,24
2017-01-09,IN17,29,8,1
2017-01-09,IN18,3,1,0
2017-01-09,IN19,810,222,19
2017-01-09,IN20,35,8,0
2017-01-09,IN21,126,63,29
2017-01-09,IN22,28,6,0
2017-01-09,IN23,174,67,3
2017-01-09,IN24,242,69,11
2017-01-09,IN25,550,166,10
2017-01-09,IN26,15,6,3
2017-01-09,IN28,293,121,35
2017-01-09,IN31,4,0,0
2017-01-09,IN33,65,10,0
2017-01-09,IN34,217,69,7
2017-01-09,IN35,179,56,3
2017-01-09,IN36,774,240,13
2017-01-09,IN37,74,40,0
2017-01-09,IN38,22,3,0
2017-01-09,IN39,53,17,1
2017-01-10,IN00,113,34,9
2017-01-10,IN01,10,3,1
2017-01-10,IN02,288,76,6
2017-01-10,IN03,59,11,2
2017-01-10,IN05,1,1,0
2017-01-10,IN07,1663,482,37
2017-01-10,IN09,501,99,6
2017-01-10,IN10,60,14,0
2017-01-10,IN11,32,15,0
2017-01-10,IN12,323,152,5
2017-01-10,IN13,174,57,5
2017-01-10,IN14,2,0,0
2017-01-10,IN16,1098,332,5
2017-01-10,IN17,48,5,1
2017-01-10,IN19,608,192,17
2017-01-10,IN20,57,14,1
2017-01-10,IN21,151,64,27
2017-01-10,IN22,56,15,0
2017-01-10,IN23,162,51,1
2017-01-10,IN24,332,75,8
2017-01-10,IN25,577,182,23
2017-01-10,IN26,34,26,15
2017-01-10,IN28,295,127,37
2017-01-10,IN30,20,0,0
2017-01-10,IN31,4,2,0
2017-01-10,IN33,43,3,0
2017-01-10,IN34,221,83,6
2017-01-10,IN35,265,64,3
2017-01-10,IN36,761,238,7
2017-01-10,IN37,119,50,0
2017-01-10,IN38,41,14,0
2017-01-10,IN39,103,19,0
2017-01-11,IN00,73,21,7
2017-01-11,IN01,5,2,1
2017-01-11,IN02,283,68,2
2017-01-11,IN03,51,5,0
2017-01-11,IN06,7,5,0
2017-01-11,IN07,1831,530,42
2017-01-11,IN09,428,71,7
2017-01-11,IN10,132,27,2
2017-01-11,IN11,11,2,0
2017-01-11,IN12,251,86,5
2017-01-11,IN13,158,58,18
2017-01-11,IN16,1061,292,12
2017-01-11,IN17,12,9,2
2017-01-11,IN18,2,2,0
2017-01-11,IN19,458,100,4
2017-01-11,IN20,45,24,1
2017-01-11,IN21,114,41,11
2017-01-11,IN22,28,8,1
2017-01-11,IN23,148,42,0
2017-01-11,IN24,227,75,3
2017-01-11,IN25,386,123,15
2017-01-11,IN26,19,7,0
2017-01-11,IN28,442,213,26
2017-01-11,IN31,5,4,0
2017-01-11,IN33,69,14,0
2017-01-11,IN34,276,78,0
2017-01-11,IN35,180,43,1
2017-01-11,IN36,732,262,7
2017-01-11,IN37,120,51,2
2017-01-11,IN38,49,15,0
2017-01-11,IN39,101,20,1
2017-01-12,IN00,85,31,4
2017-01-12,IN01,7,2,0
2017-01-12,IN02,335,66,1
2017-01-12,IN03,59,10,0
2017-01-12,IN07,1407,428,26
2017-01-12,IN09,380,91,3
2017-01-12,IN10,109,28,1
2017-01-12,IN11,22,7,0
2017-01-12,IN12,230,73,5
2017-01-12,IN13,166,48,7
2017-01-12,IN16,1151,289,11
2017-01-12,IN17,60,18,0
2017-01-12,IN18,6,2,0
2017-01-12,IN19,432,121,11
2017-01-12,IN20,42,7,0
2017-01-12,IN21,115,41,2
2017-01-12,IN22,26,12,3
2017-01-12,IN23,195,76,2
2017-01-12,IN24,223,71,3
2017-01-12,IN25,628,205,27
2017-01-12,IN26,21,6,0
2017-01-12,IN28,451,193,22
2017-01-12,IN32,2,0,0
2017-01-12,IN33,49,14,0
2017-01-12,IN34,461,175,3
2017-01-12,IN35,172,48,0
2017-01-12,IN36,682,232,13
2017-01-12,IN37,44,11,0
2017-01-12,IN38,37,17,1
2017-01-12,IN39,55,10,0
2017-01-13,IN00,97,33,3
2017-01-13,IN01,7,1,0
2017-01-13,IN02,283,70,2
2017-01-13,IN03,46,8,0
2017-01-13,IN05,1,1,0
2017-01-13,IN07,1604,512,27
2017-01-13,IN09,302,71,9
2017-01-13,IN10,47,7,0
2017-01-13,IN11,32,3,0
2017-01-13,IN12,260,108,7
2017-01-13,IN13,135,53,6
2017-01-13,IN16,1147,363,29
2017-01-13,IN17,52,30,0
2017-01-13,IN18,1,0,0
2017-01-13,IN19,490,150,6
2017-01-13,IN20,31,8,3
2017-01-13,IN21,130,44,9
2017-01-13,IN22,13,5,1
2017-01-13,IN23,143,55,11
2017-01-13,IN24,235,57,0
2017-01-13,IN25,587,216,40
2017-01-13,IN26,4,0,0
2017-01-13,IN28,457,180,23
2017-01-13,IN30,2,0,0
2017-01-13,IN31,3,1,0
2017-01-13,IN33,51,8,0
2017-01-13,IN34,404,153,2
2017-01-13,IN35,162,69,4
2017-01-13,IN36,682,226,17
2017-01-13,IN37,87,40,2
2017-01-13,IN38,19,9,1
2017-01-13,IN39,84,21,0
2017-01-14,IN00,54,16,3
2017-01-14,IN01,2,2,2
2017-01-14,IN02,202,58,7
2017-01-14,IN03,43,4,0
2017-01-14,IN07,975,293,16
2017-01-14,IN09,190,32,0
2017-01-14,IN10,142,66,0
2017-01-14,IN11,39,10,3
2017-01-14,IN12,198,67,3
2017-01-14,IN13,46,13,3
2017-01-14,IN14,2,0,0
2017-01-14,IN16,726,176,24
2017-01-14,IN17,42,16,0
2017-01-14,IN18,2,0,0
2017-01-14,IN19,422,138,8
2017-01-14,IN20,45,13,2
2017-01-14,IN21,85,26,2
2017-01-14,IN22,14,0,0
2017-01-14,IN23,209,89,3
2017-01-14,IN24,166,56,5
2017-01-14,IN25,387,138,23
2017-01-14,IN26,24,6,2
2017-01-14,IN28,341,130,22
2017-01-14,IN30,3,1,0
2017-01-14,IN31,10,4,0
2017-01-14,IN33,30,6,0
2017-01-14,IN34,588,160,7
2017-01-14,IN35,165,33,3
2017-01-14,IN36,604,205,17
2017-01-14,IN37,23,11,0
2017-01-14,IN38,18,7,0
2017-01-14,IN39,125,30,1
2017-01-15,IN00,67,10,1
2017-01-15,IN01,10,6,0
2017-01-15,IN02,228,46,1
2017-01-15,IN03,37,7,0
2017-01-15,IN06,1,0,0
2017-01-15,IN07,990,293,20
2017-01-15,IN09,124,31,1
2017-01-15,IN10,145,66,3
2017-01-15,IN11,19,6,0
2017-01-15,IN12,316,123,6
2017-01-15,IN13,93,25,1
2017-01-15,IN14,1,0,0
2017-01-15,IN16,507,147,11
2017-01-15,IN17,7,3,0
2017-01-15,IN19,353,102,6
2017-01-15,IN20,33,12,0
2017-01-15,IN21,66,21,0
2017-01-15,IN22,5,2,0
2017-01-15,IN23,213,89,9
2017-01-15,IN24,148,41,1
2017-01-15,IN25,317,125,20
2017-01-15,IN26,11,4,1
2017-01-15,IN28,293,86,7
2017-01-15,IN33,22,4,0
2017-01-15,IN34,455,107,1
2017-01-15,IN35,62,19,0
2017-01-15,IN36,500,141,7
2017-01-15,IN37,27,19,0
2017-01-15,IN38,23,7,0
2017-01-15,IN39,92,21,4
2017-01-16,IN00,143,38,1
2017-01-16,IN01,6,0,0
2017-01-16,IN02,316,69,9
2017-01-16,IN03,38,12,0
2017-01-16,IN06,2,2,0
2017-01-16,IN07,1520,436,22
2017-01-16,IN09,273,36,1
2017-01-16,IN10,117,41,8
2017-01-16,IN11,6,0,0
2017-01-16,IN12,434,185,9
2017-01-16,IN13,130,29,2
2017-01-16,IN14,1,0,0
2017-01-16,IN16,1030,296,15
2017-01-16,IN17,19,11,1
2017-01-16,IN18,16,14,0
2017-01-16,IN19,478,124,16
2017-01-16,IN20,47,15,0
2017-01-16,IN21,90,33,4
2017-01-16,IN22,12,4,0
2017-01-16,IN23,187,87,4
2017-01-16,IN24,220,46,2
2017-01-16,IN25,389,143,16
2017-01-16,IN26,35,17,3
2017-01-16,IN28,463,156,16
2017-01-16,IN30,14,9,0
2017-01-16,IN31,1,1,1
2017-01-16,IN33,59,12,0
2017-01-16,IN34,311,102,4
2017-01-16,IN35,184,76,7
2017-01-16,IN36,987,331,26
2017-01-16,IN37,51,27,0
2017-01-16,IN38,29,9,4
2017-01-16,IN39,231,73,0
2017-01-17,IN00,171,42,6
2017-01-17,IN01,5,1,0
2017-01-17,IN02,528,216,36
2017-01-17,IN03,64,25,1
2017-01-17,IN06,3,0,0
2017-01-17,IN07,1836,552,49
2017-01-17,IN09,242,72,4
2017-01-17,IN10,140,54,0
2017-01-17,IN11,29,4,0
2017-01-17,IN12,499,160,5
2017-01-17,IN13,187,46,3
2017-01-17,IN16,1024,301,9
2017-01-17,IN17,46,6,0
2017-01-17,IN19,495,151,7
2017-01-17,IN20,68,14,1
2017-01-17,IN21,73,21,3
2017-01-17,IN22,16,1,0
2017-01-17,IN23,202,88,4
2017-01-17,IN24,259,65,2
2017-01-17,IN25,616,212,48
2017-01-17,IN26,38,13,7
2017-01-17,IN28,276,107,0
2017-01-17,IN30,14,10,0
2017-01-17,IN31,6,0,0
2017-01-17,IN33,56,18,2
2017-01-17,IN34,463,158,6
2017-01-17,IN35,180,69,4
2017-01-17,IN36,1069,277,28
2017-01-17,IN37,34,13,2
2017-01-17,IN38,28,5,1
2017-01-17,IN39,80,21,3
2017-01-18,IN00,96,37,3
2017-01-18,IN01,10,0,0
2017-01-18,IN02,445,180,12
2017-01-18,IN03,109,40,9
2017-01-18,IN05,1,0,0
2017-01-18,IN06,1,0,0
2017-01-18,IN07,1941,545,66
2017-01-18,IN09,299,109,18
2017-01-18,IN10,130,42,2
2017-01-18,IN11,24,15,2
2017-01-18,IN12,359,111,4
2017-01-18,IN13,165,57,6
2017-01-18,IN16,1354,478,63
2017-01-18,IN17,55,27,1
2017-01-18,IN18,2,1,0
2017-01-18,IN19,589,151,9
2017-01-18,IN20,96,9,0
2017-01-18,IN21,124,26,3
2017-01-18,IN22,45,11,1
2017-01-18,IN23,212,68,0
2017-01-18,IN24,437,130,6
2017-01-18,IN25,1085,434,124
2017-01-18,IN26,37,8,5
2017-01-18,IN28,425,137,9
2017-01-18,IN30,4,1,1
2017-01-18,IN31,14,5,1
2017-01-18,IN33,47,20,2
2017-01-18,IN34,357,136,5
2017-01-18,IN35,262,93,7
2017-01-18,IN36,950,281,31
2017-01-18,IN37,40,20,10
2017-01-18,IN38,31,4,0
2017-01-18,IN39,173,45,4
2017-01-19,IN00,160,45,4
2017-01-19,IN01,4,1,0
2017-01-19,IN02,382,103,8
2017-01-19,IN03,61,12,3
2017-01-19,IN06,1,1,0
2017-01-19,IN07,1976,558,56
2017-01-19,IN09,218,70,13
2017-01-19,IN10,129,45,6
2017-01-19,IN11,42,19,2
2017-01-19,IN12,532,248,8
2017-01-19,IN13,199,111,5
2017-01-19,IN14,5,2,0
2017-01-19,IN16,1056,389,40
2017-01-19,IN17,84,19,1
2017-01-19,IN18,5,4,0
2017-01-19,IN19,440,144,6
2017-01-19,IN20,85,18,1
2017-01-19,IN21,65,12,0
2017-01-19,IN22,37,9,0
2017-01-19,IN23,135,46,0
2017-01-19,IN24,287,72,4
2017-01-19,IN25,1433,543,156
2017-01-19,IN26,45,18,1
2017-01-19,IN28,266,68,6
2017-01-19,IN30,2,1,0
2017-01-19,IN31,1,1,0
2017-01-19,IN33,54,16,0
2017-01-19,IN34,220,90,4
2017-01-19,IN35,253,99,5
2017-01-19,IN36,1001,313,28
2017-01-19,IN37,27,13,0
2017-01-19,IN38,33,6,0
2017-01-19,IN39,109,33,4
2017-01-20,IN00,128,33,4
2017-01-20,IN01,10,4,0
2017-01-20,IN02,287,82,8
2017-01-20,IN03,101,32,2
2017-01-20,IN06,1,1,0
2017-01-20,IN07,1589,425,32
2017-01-20,IN09,230,59,2
2017-01-20,IN10,168,63,3
2017-01-20,IN11,27,10,0
2017-01-20,IN12,335,105,8
2017-01-20,IN13,135,42,5
2017-01-20,IN14,3,0,0
2017-01-20,IN16,1012,331,53
2017-01-20,IN17,21,7,0
2017-01-20,IN18,1,1,0
2017-01-20,IN19,440,140,7
2017-01-20,IN20,57,15,7
2017-01-20,IN21,65,26,2
2017-01-20,IN22,21,6,2
2017-01-20,IN23,195,95,4
2017-01-20,IN24,228,57,4
2017-01-20,IN25,1341,487,121
2017-01-20,IN26,31,0,0
2017-01-20,IN28,236,69,9
2017-01-20,IN31,10,3,0
2017-01-20,IN33,39,11,0
2017-01-20,IN34,194,75,2
2017-01-20,IN35,200,73,17
2017-01-20,IN36,993,304,24
2017-01-20,IN37,41,9,0
2017-01-20,IN38,32,6,3
2017-01-20,IN39,79,10,1
2017-01-21,IN00,66,14,1
2017-01-21,IN01,2,1,0
2017-01-21,IN02,218,53,4
2017-01-21,IN03,27,5,0
2017-01-21,IN07,1225,313,23
2017-01-21,IN09,177,48,2
2017-01-21,IN10,67,14,2
2017-01-21,IN11,20,7,0
2017-01-21,IN12,346,124,10
2017-01-21,IN13,190,107,8
2017-01-21,IN16,905,338,33
2017-01-21,IN17,32,11,1
2017-01-21,IN18,2,0,0
2017-01-21,IN19,235,88,14
2017-01-21,IN20,16,9,0
2017-01-21,IN21,103,30,5
2017-01-21,IN22,4,1,0
2017-01-21,IN23,209,77,3
2017-01-21,IN24,195,55,4
2017-01-21,IN25,927,339,78
2017-01-21,IN26,59,6,0
2017-01-21,IN28,312,101,16
2017-01-21,IN30,2,0,0
2017-01-21,IN31,1,0,0
2017-01-21,IN32,1,0,0
2017-01-21,IN33,45,17,0
2017-01-21,IN34,236,84,3
2017-01-21,IN35,142,49,5
2017-01-21,IN36,712,222,9
2017-01-21,IN37,32,9,1
2017-01-21,IN38,11,4,1
2017-01-21,IN39,134,38,6
2017-01-22,IN00,84,29,3
2017-01-22,IN01,6,5,0
2017-01-22,IN02,219,48,4
2017-01-22,IN03,122,82,0
2017-01-22,IN06,1,0,0
2017-01-22,IN07,894,212,21
2017-01-22,IN09,144,48,6
2017-01-22,IN10,66,27,1
2017-01-22,IN11,16,8,6
2017-01-22,IN12,204,85,0
2017-01-22,IN13,69,25,4
2017-01-22,IN14,1,0,0
2017-01-22,IN16,575,195,13
2017-01-22,IN17,16,3,0
2017-01-22,IN19,232,76,16
2017-01-22,IN20,32,17,0
2017-01-22,IN21,144,33,3
2017-01-22,IN22,6,1,1
2017-01-22,IN23,192,71,0
2017-01-22,IN24,204,49,4
2017-01-22,IN25,924,369,62
2017-01-22,IN26,10,5,0
2017-01-22,IN28,221,61,13
2017-01-22,IN30,15,9,0
2017-01-22,IN31,1,0,0
2017-01-22,IN33,24,8,1
2017-01-22,IN34,196,74,6
2017-01-22,IN35,67,10,0
2017-01-22,IN36,763,269,16
2017-01-22,IN37,64,7,0
2017-01-22,IN38,19,6,0
2017-01-22,IN39,107,36,5
2017-01-23,IN00,108,57,4
2017-01-23,IN01,21,2,0
2017-01-23,IN02,384,106,7
2017-01-23,IN03,91,39,3
2017-01-23,IN05,2,2,0
2017-01-23,IN07,1436,394,22
2017-01-23,IN09,115,28,0
2017-01-23,IN10,111,25,3
2017-01-23,IN11,21,7,0
2017-01-23,IN12,223,91,8
2017-01-23,IN13,180,56,2
2017-01-23,IN14,3,1,0
2017-01-23,IN16,1153,329,20
2017-01-23,IN17,58,20,0
2017-01-23,IN18,3,0,0
2017-01-23,IN19,485,152,39
2017-01-23,IN20,25,4,2
2017-01-23,IN21,107,20,3
2017-01-23,IN22,8,2,0
2017-01-23,IN23,102,37,2
2017-01-23,IN24,257,69,4
2017-01-23,IN25,1812,919,208
2017-01-23,IN26,29,7,0
2017-01-23,IN28,247,70,7
2017-01-23,IN30,5,0,0
2017-01-23,IN31,12,8,0
2017-01-23,IN33,52,14,4
2017-01-23,IN34,168,62,3
2017-01-23,IN35,168,45,1
2017-01-23,IN36,918,311,28
2017-01-23,IN37,75,42,1
2017-01-23,IN38,21,4,0
2017-01-23,IN39,87,28,3
2017-01-24,IN00,97,23,3
2017-01-24,IN01,7,3,0
2017-01-24,IN02,453,91,5
2017-01-24,IN03,40,6,0
2017-01-24,IN05,1,0,0
2017-01-24,IN06,2,0,0
2017-01-24,IN07,1801,413,19
2017-01-24,IN09,267,72,1
2017-01-24,IN10,135,33,0
2017-01-24,IN11,10,6,0
2017-01-24,IN12,578,234,8
2017-01-24,IN13,134,58,14
2017-01-24,IN14,1,0,0
2017-01-24,IN16,1012,266,14
2017-01-24,IN17,91,25,1
2017-01-24,IN18,7,0,0
2017-01-24,IN19,535,148,18
2017-01-24,IN20,33,3,0
2017-01-24,IN21,95,21,0
2017-01-24,IN22,41,2,0
2017-01-24,IN23,165,51,0
2017-01-24,IN24,249,78,6
2017-01-24,IN25,1007,468,106
2017-01-24,IN26,22,3,1
2017-01-24,IN28,228,57,4
2017-01-24,IN30,7,2,0
2017-01-24,IN31,5,2,0
2017-01-24,IN33,57,11,0
2017-01-24,IN34,142,65,2
2017-01-24,IN35,130,41,6
2017-01-24,IN36,812,254,24
2017-01-24,IN37,86,36,4
2017-01-24,IN38,32,2,0
2017-01-24,IN39,71,26,0
2017-01-25,IN00,102,29,2
2017-01-25,IN01,2,0,0
2017-01-25,IN02,361,77,10
2017-01-25,IN03,54,19,4
2017-01-25,IN06,4,0,0
2017-01-25,IN07,2159,449,16
2017-01-25,IN09,315,99,1
2017-01-25,IN10,132,49,0
2017-01-25,IN11,32,13,0
2017-01-25,IN12,384,143,2
2017-01-25,IN13,159,50,4
2017-01-25,IN16,1031,277,7
2017-01-25,IN17,60,9,1
2017-01-25,IN18,4,0,0
2017-01-25,IN19,634,154,10
2017-01-25,IN20,21,3,0
2017-01-25,IN21,111,16,1
2017-01-25,IN22,15,5,2
2017-01-25,IN23,178,53,5
2017-01-25,IN24,258,77,1
2017-01-25,IN25,716,283,55
2017-01-25,IN26,18,0,0
2017-01-25,IN28,287,70,5
2017-01-25,IN30,7,0,0
2017-01-25,IN33,59,19,0
2017-01-25,IN34,232,68,2
2017-01-25,IN35,147,43,8
2017-01-25,IN36,716,229,19
2017-01-25,IN37,173,87,4
2017-01-25,IN38,37,8,1
2017-01-25,IN39,53,14,1
2017-01-26,IN00,139,54,2
2017-01-26,IN01,4,0,0
2017-01-26,IN02,638,199,49
2017-01-26,IN03,99,36,2
2017-01-26,IN05,5,2,0
2017-01-26,IN06,10,0,0
2017-01-26,IN07,1779,333,21
2017-01-26,IN09,154,55,6
2017-01-26,IN10,88,23,0
2017-01-26,IN11,28,15,0
2017-01-26,IN12,443,162,6
2017-01-26,IN13,142,29,2
2017-01-26,IN14,2,0,0
2017-01-26,IN16,790,187,16
2017-01-26,IN17,22,9,2
2017-01-26,IN18,9,2,0
2017-01-26,IN19,502,117,4
2017-01-26,IN20,10,2,0
2017-01-26,IN21,72,25,2
2017-01-26,IN22,14,0,0
2017-01-26,IN23,262,61,6
2017-01-26,IN24,245,52,3
2017-01-26,IN25,404,157,30
2017-01-26,IN26,26,3,3
2017-01-26,IN28,157,30,5
2017-01-26,IN30,18,3,0
