month,total,pakistan_west,china_east,us_trade,gulf_energy,generation
197901,148490,0.0,0.0053875681864098595,0.0,0.037712977304869014,1.0
197902,146998,0.016326752744935304,0.04489857004857209,0.0,0.0,1.0
197903,154179,0.002594387043631104,0.007783161130893313,0.0,0.00972895141361664,1.0
197904,152358,0.0,0.0,0.0,0.0039380931752845275,1.0
197905,165158,0.018164424369391734,0.002421923249252231,0.0,0.0,1.0
197906,175715,0.003983723643399824,0.0,0.0,0.0,1.0
197907,164318,0.0,0.006085760537494371,0.0,0.0,1.0
197908,152811,0.005889628364450203,0.01047045042568925,0.0,0.005235225212844625,1.0
197909,161101,0.0,0.014897486669853075,0.0,0.0,1.0
197910,172435,0.003479572012642445,0.010438716037927336,0.0,0.0,1.0
197911,160067,0.0,0.0,0.0,0.0,1.0
197912,151207,0.010581520696793138,0.0,0.0,0.0,1.0
198001,194836,0.04875895625038494,0.0,0.0,0.0,1.0
198002,171852,0.0058189605008961195,0.0,0.0,0.006982752601075343,1.0
198003,175581,0.026198734487216727,0.014807980362339887,0.0,0.006834452474926102,1.0
198004,170042,0.001176180002587596,0.0,0.0,0.001176180002587596,1.0
198005,161673,0.003711194819172032,0.012370649397240108,0.0,0.022267168915032196,1.0
198006,201962,0.001980570602390549,0.012873708915538566,0.0,0.013368851566136205,1.0
198007,198804,0.03621657511921289,0.0015090239633005372,0.0,0.0,1.0
198008,178694,0.02854040986267026,0.0011192317593204026,0.0,0.002238463518640805,1.0
198009,202893,0.021193436934739,0.0,0.0,0.023657790066685395,1.0
198010,247397,0.0,0.0,0.0,0.0040420862015303335,1.0
198011,214636,0.005590860806202128,0.0,0.0,0.007454481074936172,1.0
198012,202732,0.015784385296845095,0.0,0.0,0.017757433458950735,1.0
198101,211208,0.0047346691413204045,0.0,0.0,0.022726411878337942,1.0
198102,208205,0.0024014793112557336,0.005763550347013761,0.0,0.033140414495329125,1.0
198103,237235,0.0012645688873901405,0.0,0.0,0.0,1.0
198104,237219,0.011381887622829538,0.0,0.0,0.010117233442515144,1.0
198105,244335,0.005320563979781857,0.0024556449137454724,0.0,0.02210080422370925,1.0
198106,249633,0.014421170277968059,0.044064686960457955,0.0,0.0,1.0
198107,213502,0.015924909368530506,0.010772732808123577,0.0,0.0,1.0
198108,228754,0.015737429728004754,0.0,0.0,0.005245809909334919,1.0
198109,220614,0.014051692095696556,0.0036262431214700787,0.0,0.0013598411705512798,1.0
198110,259753,0.002309886700057362,0.016939169133753988,0.0,0.0,1.0
198111,243007,0.020575538976243483,0.0041151077952486965,0.002469064677149218,0.005761150913348175,1.0
198112,242390,0.018565122323528197,0.02269070506209002,0.0016502330954247285,0.0,1.0
198201,234300,0.046094750320102434,0.0008536064874093043,0.0,0.0,1.0
198202,224821,0.014678344104865649,0.0048927813682885495,0.0,0.00222399153104025,1.0
198203,258323,0.001548449034735583,0.0,0.0,0.0019355612934194787,1.0
198204,265688,0.0,0.0,0.0,0.01430249013880943,1.0
198205,291008,0.005841763800307895,0.02405432153067957,0.0,0.0,1.0
198206,296586,0.01449832426345141,0.0,0.0,0.00876642862441248,1.0
198207,257811,0.0011636431339236883,0.002715167312488606,0.0023272862678473767,0.0,1.0
198208,261058,0.00919335933011055,0.0,0.0038305663875460626,0.03370898421040535,1.0
198209,272383,0.002202780643432226,0.0,0.0,0.007342602144774087,1.0
