date,chokepoint,n_total,n_tanker,n_cargo,capacity
2019-01-31,suez,40,18,22,1719832
2019-02-01,bab_el_mandeb,48,13,35,2162447
2019-02-01,hormuz,58,39,19,2383529
2019-02-01,malacca,173,78,95,6790518
2019-02-01,suez,48,11,37,2016467
2019-02-02,bab_el_mandeb,55,10,45,2952977
2019-02-02,hormuz,58,40,18,2996756
2019-02-02,malacca,156,60,96,6598118
2019-02-02,suez,46,13,33,2388339
2019-02-03,bab_el_mandeb,58,28,30,3275860
2019-02-03,hormuz,65,42,23,2195767
2019-02-03,malacca,154,57,97,7514024
2019-02-03,suez,49,12,37,2356478
2019-02-04,bab_el_mandeb,55,14,41,2208744
2019-02-04,hormuz,62,38,24,1725468
2019-02-04,malacca,177,73,104,7037417
2019-02-04,suez,42,17,25,2079760
2019-02-05,bab_el_mandeb,51,18,33,2270109
2019-02-05,hormuz,66,35,31,1277146
2019-02-05,malacca,187,67,120,6791071
2019-02-05,suez,68,19,49,3262930
2019-02-06,bab_el_mandeb,52,19,33,2451365
2019-02-06,hormuz,58,36,22,1774068
2019-02-06,malacca,172,64,108,6755934
2019-02-06,suez,57,15,42,3738441
2019-02-07,bab_el_mandeb,50,18,32,2527855
2019-02-07,hormuz,70,39,31,2509768
2019-02-07,malacca,160,64,96,5833876
2019-02-07,suez,56,21,35,2470561
2019-02-08,bab_el_mandeb,39,12,27,1667443
2019-02-08,hormuz,69,45,24,1573496
2019-02-08,malacca,169,73,96,6397364
2019-02-08,suez,48,18,30,3070009
2019-02-09,bab_el_mandeb,53,17,36,2579993
2019-02-09,hormuz,70,50,20,2324679
2019-02-09,malacca,195,84,111,6832456
2019-02-09,suez,61,11,50,2239692
2019-02-10,bab_el_mandeb,65,19,46,3769471
2019-02-10,hormuz,71,45,26,3460682
2019-02-10,malacca,192,70,122,7210207
2019-02-10,suez,44,12,32,2294520
2019-02-11,bab_el_mandeb,55,19,36,2598186
2019-02-11,hormuz,49,30,19,2063782
2019-02-11,malacca,162,62,100,6682672
2019-02-11,suez,63,21,42,2687060
2019-02-12,bab_el_mandeb,48,16,32,1896119
2019-02-12,hormuz,62,36,26,1500141
2019-02-12,malacca,184,75,109,6536562
2019-02-12,suez,60,23,37,2897401
2019-02-13,bab_el_mandeb,61,15,46,2502056
2019-02-13,hormuz,59,40,19,1547260
2019-02-13,malacca,181,69,112,7355661
2019-02-13,suez,43,11,32,2977604
2019-02-14,bab_el_mandeb,42,12,30,2056282
2019-02-14,hormuz,74,44,30,1899874
2019-02-14,malacca,171,75,96,6674083
2019-02-14,suez,45,15,30,1453693
2019-02-15,bab_el_mandeb,55,18,37,2625903
2019-02-15,hormuz,73,40,33,2681367
2019-02-15,malacca,187,89,98,7312571
2019-02-15,suez,37,7,30,1959098
2019-02-16,bab_el_mandeb,71,22,49,3226121
2019-02-16,hormuz,74,47,27,3018876
2019-02-16,malacca,169,69,100,5927972
2019-02-16,suez,52,19,33,2035799
2019-02-17,bab_el_mandeb,58,22,36,2645253
2019-02-17,hormuz,49,34,15,1588882
2019-02-17,malacca,181,70,111,6981552
2019-02-17,suez,50,17,33,2285043
2019-02-18,bab_el_mandeb,54,15,39,2847798
2019-02-18,hormuz,82,47,35,2187931
2019-02-18,malacca,162,65,97,6777331
2019-02-18,suez,45,17,28,1998726
2019-02-19,bab_el_mandeb,55,19,36,2397239
2019-02-19,hormuz,65,38,27,1757081
2019-02-19,malacca,175,87,88,7206131
2019-02-19,suez,47,14,33,1848366
2019-02-20,bab_el_mandeb,52,13,39,2060603
2019-02-20,hormuz,76,46,30,1356080
2019-02-20,malacca,195,64,131,7673338
2019-02-20,suez,51,20,31,2670352
2019-02-21,bab_el_mandeb,42,11,31,2009799
2019-02-21,hormuz,84,53,31,1537440
2019-02-21,malacca,179,70,109,6439782
2019-02-21,suez,49,11,38,2643450
2019-02-22,bab_el_mandeb,49,17,32,1765373
2019-02-22,hormuz,86,51,35,2832792
2019-02-22,malacca,150,61,89,5315335
2019-02-22,suez,58,20,38,2873721
2019-02-23,bab_el_mandeb,52,11,41,2610968
2019-02-23,hormuz,85,56,29,3467383
2019-02-23,malacca,178,77,101,5871481
2019-02-23,suez,58,14,44,3154790
2019-02-24,bab_el_mandeb,58,27,31,3431344
2019-02-24,hormuz,78,45,33,2458685
2019-02-24,malacca,155,61,94,4503186
2019-02-24,suez,45,15,30,2285314
2019-02-25,bab_el_mandeb,53,12,41,2435988
2019-02-25,hormuz,55,34,21,2138517
2019-02-25,malacca,152,59,93,6540540
2019-02-25,suez,49,14,35,1811473
2019-02-26,bab_el_mandeb,48,18,30,2264421
2019-02-26,hormuz,59,33,26,1807557
2019-02-26,malacca,177,83,94,6752836
2019-02-26,suez,49,14,35,2136704
2019-02-27,bab_el_mandeb,46,13,33,1930352
2019-02-27,hormuz,48,30,18,1553808
2019-02-27,malacca,173,65,108,6558072
2019-02-27,suez,40,11,29,2158008
2019-02-28,bab_el_mandeb,48,20,28,2330170
2019-02-28,hormuz,64,38,26,1960670
2019-02-28,malacca,180,73,107,6693612
2019-02-28,suez,54,17,37,2082793
2019-03-01,bab_el_mandeb,47,16,31,1739215
2019-03-01,hormuz,79,55,24,3384253
2019-03-01,malacca,158,60,98,6628905
2019-03-01,suez,53,20,33,2725855
2019-03-02,bab_el_mandeb,52,16,36,2958598
2019-03-02,hormuz,71,40,31,2098452
2019-03-02,malacca,179,67,112,6737403
2019-03-02,suez,52,14,38,2667368
2019-03-03,bab_el_mandeb,54,20,34,2794537
2019-03-03,hormuz,73,48,25,1880865
2019-03-03,malacca,170,68,102,8303764
2019-03-03,suez,53,15,38,2810791
2019-03-04,bab_el_mandeb,34,15,19,1129394
2019-03-04,hormuz,56,36,20,1134205
2019-03-04,malacca,176,69,107,6670685
2019-03-04,suez,50,21,29,1957712
2019-03-05,bab_el_mandeb,44,15,29,2235085
2019-03-05,hormuz,78,47,31,2961850
2019-03-05,malacca,181,64,117,7340912
2019-03-05,suez,51,19,32,2274878
2019-03-06,bab_el_mandeb,61,18,43,2750402
2019-03-06,hormuz,90,57,33,2519549
2019-03-06,malacca,162,62,100,5395625
2019-03-06,suez,51,18,33,2341664
2019-03-07,bab_el_mandeb,41,14,27,2057335
2019-03-07,hormuz,53,35,18,1532181
2019-03-07,malacca,165,63,102,6502050
2019-03-07,suez,54,22,32,2726868
2019-03-08,bab_el_mandeb,48,17,31,1838824
2019-03-08,hormuz,77,51,26,3196107
2019-03-08,malacca,153,54,99,6109873
2019-03-08,suez,46,17,29,2661164
2019-03-09,bab_el_mandeb,59,20,39,2651655
2019-03-09,hormuz,90,61,29,3557860
2019-03-09,malacca,165,62,103,5524132
2019-03-09,suez,61,26,35,2533899
2019-03-10,bab_el_mandeb,60,27,33,2960392
2019-03-10,hormuz,56,39,17,1486656
2019-03-10,malacca,165,67,98,5697615
2019-03-10,suez,54,19,35,2228479
2019-03-11,bab_el_mandeb,57,19,38,2256913
2019-03-11,hormuz,47,26,21,1042984
2019-03-11,malacca,190,77,113,6672406
2019-03-11,suez,57,23,34,1963752
2019-03-12,bab_el_mandeb,53,26,27,2311399
2019-03-12,hormuz,57,39,18,3923699
2019-03-12,malacca,162,62,100,6597893
2019-03-12,suez,51,20,31,2654082
2019-03-13,bab_el_mandeb,40,13,27,2064223
2019-03-13,hormuz,78,47,31,3176933
2019-03-13,malacca,157,59,98,5503116
2019-03-13,suez,41,9,32,2368032
2019-03-14,bab_el_mandeb,61,25,36,3042393
2019-03-14,hormuz,64,38,26,2464358
2019-03-14,malacca,157,55,102,6040503
2019-03-14,suez,58,22,36,2630242
2019-03-15,bab_el_mandeb,60,25,35,2283740
2019-03-15,hormuz,63,39,24,3179138
2019-03-15,malacca,171,69,102,7031219
2019-03-15,suez,50,17,33,2125632
2019-03-16,bab_el_mandeb,74,22,52,3732734
2019-03-16,hormuz,60,37,23,2179311
2019-03-16,malacca,150,61,89,6426106
2019-03-16,suez,44,11,33,1964177
2019-03-17,bab_el_mandeb,50,18,32,2876173
2019-03-17,hormuz,79,50,29,2455860
2019-03-17,malacca,169,63,106,6861809
2019-03-17,suez,42,14,28,1847572
2019-03-18,bab_el_mandeb,48,24,24,1596348
2019-03-18,hormuz,44,34,10,1453455
2019-03-18,malacca,167,69,98,7224616
2019-03-18,suez,41,11,30,1705157
2019-03-19,bab_el_mandeb,37,10,27,1722763
2019-03-19,hormuz,65,39,26,1974219
2019-03-19,malacca,169,62,107,6240127
2019-03-19,suez,63,22,41,2614813
2019-03-20,bab_el_mandeb,58,15,43,2381561
2019-03-20,hormuz,72,45,27,2134119
2019-03-20,malacca,160,70,90,6623759
2019-03-20,suez,47,17,30,3244569
2019-03-21,bab_el_mandeb,46,20,26,2268404
2019-03-21,hormuz,61,39,22,2062021
2019-03-21,malacca,156,58,98,6250696
2019-03-21,suez,42,12,30,1917590
2019-03-22,bab_el_mandeb,50,15,35,1894049
2019-03-22,hormuz,61,37,24,2305868
2019-03-22,malacca,148,68,80,6850747
2019-03-22,suez,46,17,29,1855909
2019-03-23,bab_el_mandeb,60,16,44,2772982
2019-03-23,hormuz,68,38,30,3179864
2019-03-23,malacca,174,63,111,6458314
2019-03-23,suez,48,18,30,2673383
2019-03-24,bab_el_mandeb,52,15,37,2273557
2019-03-24,hormuz,64,36,28,1124303
2019-03-24,malacca,178,74,104,8102215
2019-03-24,suez,51,19,32,1957809
2019-03-25,bab_el_mandeb,55,23,32,2833752
2019-03-25,hormuz,53,27,26,1610495
2019-03-25,malacca,161,58,103,4929287
2019-03-25,suez,46,20,26,2185682
2019-03-26,bab_el_mandeb,61,25,36,2934890
2019-03-26,hormuz,63,38,25,1699049
2019-03-26,malacca,150,59,91,5880111
2019-03-26,suez,46,16,30,2598389
2019-03-27,bab_el_mandeb,48,17,31,2568027
2019-03-27,hormuz,67,42,25,1432725
2019-03-27,malacca,144,54,90,4364474
2019-03-27,suez,45,7,38,2445779
2019-03-28,bab_el_mandeb,42,8,34,1524086
2019-03-28,hormuz,49,33,16,2571426
2019-03-28,malacca,202,75,127,8268254
2019-03-28,suez,63,18,45,2207292
2019-03-29,bab_el_mandeb,47,14,33,2050268
2019-03-29,hormuz,80,40,40,3318965
2019-03-29,malacca,184,74,110,6831945
2019-03-29,suez,59,19,40,2946292
2019-03-30,bab_el_mandeb,51,18,33,2402269
2019-03-30,hormuz,81,55,26,2612253
2019-03-30,malacca,167,58,109,6325609
2019-03-30,suez,43,12,31,2410984
2019-03-31,bab_el_mandeb,44,11,33,2091848
2019-03-31,hormuz,60,38,22,2475816
2019-03-31,malacca,152,50,102,6153873
2019-03-31,suez,34,11,23,1885135
2019-04-01,bab_el_mandeb,53,17,36,3217825
2019-04-01,hormuz,78,49,29,2360702
2019-04-01,malacca,190,81,109,7429730
2019-04-01,suez,67,24,43,2605538
2019-04-02,bab_el_mandeb,54,18,36,2834907
2019-04-02,hormuz,58,31,27,1773838
2019-04-02,malacca,169,63,106,6780422
2019-04-02,suez,54,14,40,2335847
2019-04-03,bab_el_mandeb,49,16,33,2219080
2019-04-03,hormuz,65,35,30,2311542
2019-04-03,malacca,164,63,101,5601655
2019-04-03,suez,50,17,33,2667596
2019-04-04,bab_el_mandeb,54,11,43,2142433
2019-04-04,hormuz,37,23,14,704468
2019-04-04,malacca,167,60,107,7031548
2019-04-04,suez,54,19,35,2729765
2019-04-05,bab_el_mandeb,43,16,27,1569909
2019-04-05,hormuz,78,47,31,3044904
2019-04-05,malacca,163,56,107,5631970
2019-04-05,suez,62,19,43,3538895
2019-04-06,bab_el_mandeb,53,11,42,2968944
2019-04-06,hormuz,82,50,32,2611089
2019-04-06,malacca,174,66,108,6477443
2019-04-06,suez,46,15,31,2614106
2019-04-07,bab_el_mandeb,71,25,46,3820421
2019-04-07,hormuz,70,47,23,2708147
2019-04-07,malacca,184,73,111,6466431
2019-04-07,suez,41,14,27,2010249
2019-04-08,bab_el_mandeb,51,20,31,2259297
2019-04-08,hormuz,82,47,35,2616412
2019-04-08,malacca,172,62,110,7090167
2019-04-08,suez,63,18,45,2589550
2019-04-09,bab_el_mandeb,45,16,29,1983835
2019-04-09,hormuz,83,58,25,3154195
2019-04-09,malacca,177,61,116,7058383
2019-04-09,suez,63,20,43,3255736
2019-04-10,bab_el_mandeb,55,17,38,2776536
2019-04-10,hormuz,65,39,26,2944966
2019-04-10,malacca,195,73,122,9323344
2019-04-10,suez,45,12,33,2148040
2019-04-11,bab_el_mandeb,64,21,43,3717833
2019-04-11,hormuz,68,47,21,2999385
2019-04-11,malacca,175,53,122,7227790
