date,placebo_cricket,placebo_entertainment
2022-07-10,0.037,0.0617
2022-07-11,0.0399,0.0512
2022-07-12,0.0351,0.0664
2022-07-13,0.0183,0.0455
2022-07-14,0.0319,0.0522
2022-07-15,0.0418,0.0562
2022-07-16,0.059,0.144
2022-07-17,0.0303,0.0766
2022-07-18,0.0138,0.068
2022-07-19,0.0148,0.0752
2022-07-20,0.0123,0.0865
2022-07-21,0.0177,0.0624
2022-07-22,0.0181,0.0773
2022-07-23,0.0282,0.0696
2022-07-24,0.0168,0.0779
2022-07-25,0.0484,0.0556
2022-07-26,0.0168,0.0524
2022-07-27,0.0243,0.0525
2022-07-28,0.0179,0.0571
2022-07-29,0.0244,0.0564
2022-07-30,0.0235,0.0717
2022-07-31,0.0178,0.0919
2022-08-01,0.0185,0.063
2022-08-02,0.0167,0.0571
2022-08-03,0.0157,0.055
2022-08-04,0.0147,0.0684
2022-08-05,0.0145,0.0612
2022-08-06,0.026,0.0682
2022-08-07,0.0196,0.0689
2022-08-08,0.0301,0.0673
2022-08-09,0.0259,0.064
2022-08-10,0.0212,0.0728
2022-08-11,0.0309,0.0717
2022-08-12,0.0311,0.0819
2022-08-13,0.0504,0.1003
2022-08-14,0.0175,0.1141
2022-08-15,0.0564,0.1399
2022-08-16,0.0151,0.0745
2022-08-17,0.0289,0.074
2022-08-18,0.0135,0.0531
2022-08-19,0.0251,0.0651
2022-08-20,0.0476,0.0811
2022-08-21,0.0235,0.0927
2022-08-22,0.0126,0.0825
2022-08-23,0.0309,0.0571
2022-08-24,0.031,0.0755
2022-08-25,0.0266,0.0661
2022-08-26,0.0449,0.0674
2022-08-27,0.0888,0.1335
2022-08-28,0.1487,0.0907
2022-08-29,0.0349,0.0671
2022-08-30,0.0329,0.0697
2022-08-31,0.0454,0.0608
2022-09-01,0.0309,0.0705
2022-09-02,0.0232,0.0556
2022-09-03,0.0646,0.096
2022-09-04,0.048,0.0847
2022-09-05,0.0539,0.0596
2022-09-06,0.0328,0.0585
2022-09-07,0.0332,0.0509
2022-09-08,0.0372,0.0566
2022-09-09,0.0473,0.046
2022-09-10,0.0481,0.0808
